ICM_ID,max_annual_stage,ave_annual_stage,ave_stage_summer,var_stage_summer,ave_annual_salinity,ave_salinity_summer,sal_2wk_max,ave_tmp,ave_tmp_summer,openwater_sed_accum,marsh_int_sed_accum,marsh_edge_sed_accum,tidal_prism_ave,ave_sepmar_stage,ave_octapr_stage,marsh_edge_erosion_rate,ave_annual_tss,stdev_annual_tss,totalland_m2
671.0000,0.7176,0.3888,0.4399,0.0597,0.1930,0.1892,0.2049,17.9247,25.9362,11590.6309,79455.9922,2340.9106,1902001.1250,0.3170,0.2603,0.0000,166.5566,52.2469,3928632.5000
672.0000,0.2543,0.1247,0.1735,0.0020,0.3043,0.2344,1.3458,18.4747,26.1653,53.4984,0.0000,0.0000,4124492.5000,0.0823,0.0699,3.7710,78.1256,31.1577,0.0000
673.0000,0.2649,0.1344,0.1849,0.0020,0.1846,0.1715,0.2549,18.0600,26.0008,282958.1250,3994.2776,9999999.0000,828573.9375,0.0910,0.0758,0.0000,118.6052,44.6242,2967147.0000
674.0000,0.2137,0.1078,0.1606,0.0006,2.4599,1.2386,7.9129,19.7124,25.6172,2045.8159,140.9887,64.8149,10865772.0000,0.0666,0.0548,2.6525,57.2224,26.1330,14679916.0000
675.0000,0.1883,0.0829,0.1296,0.0008,8.7250,6.3203,16.6121,20.4919,24.7870,1244.4125,3.2088,1.7211,2708634.0000,0.0448,0.0420,9.2292,27.8080,13.2312,4843914.5000
676.0000,0.2668,0.1315,0.1815,0.0024,0.2026,0.1781,0.4916,18.3194,26.1164,9471.7285,4269.1655,646.2341,3731993.0000,0.0876,0.0744,0.0000,88.7943,34.1202,148483.0000
677.0000,0.2733,0.1360,0.1857,0.0026,0.2140,0.1838,0.5336,18.2825,26.0936,12.8177,251.9248,278.9632,4166150.7500,0.0920,0.0776,4.1734,84.5990,30.2926,380673.0000
678.0000,0.2351,0.1222,0.1767,0.0007,3.3420,1.0682,8.5704,20.9623,26.4666,719.8785,0.0000,0.0000,1174858.2500,0.0802,0.0633,0.0000,24.0854,12.2965,112656763.0000
679.0000,0.2876,0.1359,0.1909,0.0033,0.3122,0.2428,1.5068,18.0328,25.8890,3432.7727,4517.4141,2822.0791,2195453.2500,0.0869,0.0757,1.6516,134.1607,54.6682,2044607.5000
680.0000,0.2304,0.1116,0.1609,0.0015,4.5416,2.9250,12.3998,20.4384,26.5124,1812.8856,36.5363,6.2170,2843587.2500,0.0698,0.0608,1.0601,38.5596,16.8515,23758382.0000
681.0000,0.2524,0.1255,0.1756,0.0019,0.1933,0.1793,0.3502,18.1645,26.0252,14306.6494,152091.4062,17.0022,2660841.2500,0.0825,0.0699,0.0000,111.2734,45.0777,78297.0000
682.0000,0.2264,0.1197,0.1738,0.0006,1.7615,0.8067,5.9641,19.5444,25.7901,13228.8193,47.1609,1.3795,548818.0000,0.0781,0.0618,0.0000,40.5021,15.4915,3288229.5000
683.0000,0.2651,0.1348,0.1850,0.0022,0.2146,0.1991,0.4549,17.9904,25.9053,158684.9062,3352.8630,9999999.0000,794611.7500,0.0913,0.0764,0.0000,135.4256,49.8018,2654720.0000
684.0000,0.2175,0.1098,0.1633,0.0006,2.1013,0.9663,6.2929,19.6652,25.8046,738.3702,79.1199,58.4742,1839348.1250,0.0683,0.0558,5.9862,67.4749,25.9031,2019310.5000
685.0000,0.1595,0.0800,0.1330,0.0003,30.0758,29.3488,32.1431,20.3062,20.5959,0.0290,0.0000,0.0000,328408480.0000,0.0417,0.0356,0.0000,1.0348,5.1775,0.0000
686.0000,0.2104,0.1021,0.1532,0.0008,2.1487,1.3706,7.7991,19.3269,25.5374,145.7578,23.5536,38.1946,2661385.5000,0.0611,0.0524,2.3635,62.8714,28.6949,3414808.5000
687.0000,0.2497,0.1126,0.1618,0.0016,4.2743,1.9079,14.6800,20.6050,27.1978,106.1361,383.9703,107.1090,4343808.5000,0.0706,0.0615,1.3365,47.6770,23.9311,30086926.0000
688.0000,0.2360,0.1186,0.1698,0.0013,0.2308,0.2086,0.7457,18.0321,25.8339,127939.5625,3773.1453,9999999.0000,841865.5000,0.0762,0.0642,0.0000,121.9666,47.5156,2613938.8750
689.0000,0.2176,0.1101,0.1633,0.0006,2.2226,1.0076,6.5826,19.7232,25.8362,24.0823,0.0000,0.0000,14732564.0000,0.0687,0.0560,0.0000,67.8270,25.9400,0.0000
690.0000,0.2669,0.1359,0.1866,0.0022,0.2387,0.2194,0.6509,17.9649,25.8585,102231.9844,5880.1074,9999999.0000,812316.6875,0.0919,0.0770,0.0000,145.2072,53.1873,2580330.8750
691.0000,0.2362,0.1139,0.1626,0.0016,0.7662,0.5456,3.2350,18.6206,26.0330,0.3924,0.0000,0.0000,6120138.0000,0.0724,0.0626,0.0000,74.7120,30.6695,0.0000
692.0000,0.2171,0.1097,0.1632,0.0006,2.3122,1.0957,6.9248,19.7834,25.8319,4705.9214,99.1288,60.4511,4686238.0000,0.0683,0.0556,3.0742,59.7863,24.8269,15584814.0000
